english,malayalam
"The restriction of any function f : A → B, denoted by f |S is the function from S into B such that, for any x ∈ S, f |S (x) = f (x)","എഫ് ഫങ്ഷനുകളുടെ നിയന്ത്രണം : എഫ്. s (s) s-ൽ നിന്നുള്ള പ്രവർത്തനമാണ്, അതായത് f, f, f (x) = f (x) = f (x)"
"Some texts use the terms injective for a one-to-one function, surjective for an onto function, and bijective for a one-to-one correspondence.","ചില ടെക്സ്റ്റുകൾ ഒരു വൺടോൺ ഫംഗ്ഷനുവേണ്ടി ഇൻജെക്റ്റീവ് , ഫംഗ്ഷന് ശസ്ത്രക്രിയ , ഒരു വൺടോൺ കറസ്പോണ്ടൻസ് എന്നിവയ്ക്കായി ബിജുവിൽ പദങ്ങൾ ഉപയോഗിക്കുന്നു ."
"Suppose that g is a function from A to B and f is a function from B to C.If f and fog are one to one, does it imply that g is one-to one.Justify your answer.","b മുതൽ c വരെയുള്ള ഒരു ഫങ്ഷനാണ് g എന്ന് കരുതുക.എഫ് , ഫോഗ് എന്നിവ ഒന്നിന് ഒന്നാണെങ്കിൽ g ഒന്നാണെന്ന് ഇത് സൂചിപ്പിക്കുന്നു.നിങ്ങളുടെ ഉത്തരം ന്യായീകരിക്കുക ."
"A school complex is a cluster of schools.It is a group of neighborhood schools, comprising a number of primary, upper primary, secondary schools and one or more senior secondary schools which function together in an integrated way as one educational unit.These are well-knit schools and they function as one cooperative group for raising the quality of education.The member schools plan their activities in such a way as to give help to and receive help from the sister institutions grouped together in one school complex.The teachers working in the senior and junior schools of the locality can join hands and work together to pool their ideas, efforts and resources for improving the quality of education.","സ്കൂൾ സമുച്ചയം ഒരു ക്ലസ്റ്റർ ആണ്.പ്രാഥമിക , അപ്പർ പ്രൈമറി , സെക്കൻഡറി സ്കൂളുകൾ , ഒന്നോ അതിലധികമോ സീനിയർ സെക്കൻഡറി സ്കൂളുകൾ എന്നിവ ഉൾപ്പെടുന്ന ഒരു കൂട്ടം അയൽ സ്കൂളുകളാണ് ഇത്.ഇവ വെൽകിറ്റ് സ്കൂളുകളാണ് , അവ വിദ്യാഭ്യാസ ഗുണനിലവാരം ഉയർത്തുന്നതിന് ഒരു സഹകരണ ഗ്രൂപ്പായി പ്രവർത്തിക്കുന്നു.ഒരു സ്‌കൂൾ കോംപ്ലക്‌സിൽ ചേർന്ന സഹോദരി സ്ഥാപനങ്ങളിൽനിന്നു സഹായം സ്വീകരിക്കാനും സഹായം സ്വീകരിക്കാനും സഹായിക്കുന്ന തരത്തിൽ അംഗങ്ങളായ സ്‌കൂളുകൾ തങ്ങളുടെ പ്രവർത്തനങ്ങൾ ആസൂത്രണം ചെയ്യുന്നു.പ്രദേശത്തെ സീനിയര്‍ , ജൂനിയര്‍ സ്‌കൂളുകളില്‍ ജോലി ചെയ്യുന്ന അധ്യാപകര്‍ക്ക് കൈകോര്‍ത്ത് അവരുടെ ആശയങ്ങളും , ശ്രമങ്ങളും , വിഭവങ്ങളും , വിദ്യാഭ്യാസത്തിന്റെ ഗുണനിലവാരം മെച്ചപ്പെടുത്തുന്നതിനായി ഒന്നിച്ച് പ്രവര്‍ത്തിക്കാം ."
"which is read: “f is a function from A into B,” or “f takes (or maps) A into B.” If a ∈ A, then f(a) (read: “f of a”) denotes the unique element of B which f assigns to a; it is called the image of a under f, or the value of f at a.The set of all image values is called the range or image of f.The image of f : A → B is denoted by Ran(f ), Im(f ) or f (A).","അതിൽ ഇങ്ങനെ വായിക്കുന്നു : f ഒരു b യിൽ നിന്നോ b യിലേക്കോ (അല്ലെങ്കിൽ മാപ്പുകൾ) a ലേക്ക് എടുക്കും.(എ) എഫ്‌.എല്ലാ ഇമേജ് മൂല്യങ്ങളുടെയും കൂട്ടത്തെ എഫ് റേഞ്ച് അല്ലെങ്കിൽ ഇമേജ് എന്ന് വിളിക്കുന്നു. f ന്റെ ചിത്രം : ran (f), im (f) അല്ലെങ്കിൽ f (a) ."
(g◦f )(a) ≡ g(f (a)),( ഗൈഡ് )
Sequences,സീക്വൻസ്
"where the ais are real numbers.Since R is an infinite set, it would be impossible to plot each point of the graph.However, the graph of such a function can be approximated by first plotting some of its points and then drawing a smooth curve through these points.The points are usually obtained from a table where various values are assigned to x and the corresponding values of f (x) are computed.Figure 2.1 illustrates this technique using the function f (x) = x2 − 2x − 3.","എഐഎസ് യഥാര്‍ത്ഥ സംഖ്യകള്‍.ആർ ഒരു അനന്തമായ സെറ്റായതിനാൽ, ഗ്രാഫിന്റെ ഓരോ പോയിന്റ് ആസൂത്രണം ചെയ്യാൻ കഴിയില്ല.എന്നിരുന്നാലും, അത്തരം ഒരു പ്രവർത്തനത്തിന്റെ ഗ്രാഫ് ആദ്യം അതിന്റെ ചില പോയിന്റുകൾ ആസൂത്രണം ചെയ്ത്, തുടർന്ന് ഈ പോയിന്റുകളിലൂടെ ഒരു സുഗമമായ വളയം വരയ്ക്കുന്നു.എഫ് (x) ന്റെ അനുബന്ധ മൂല്യങ്ങൾ കണക്കാക്കുന്ന ഒരു പട്ടികയിൽ നിന്ന് പോയിന്റുകൾ സാധാരണയായി ലഭിക്കും.2. 1 ഫങ്ഷൻ f (x) ഫങ്ഷൻ f = x (x) = x എന്ന ഫങ്ഷൻ ടൈം ഫോർ ഉപയോഗിക്കുന്നു ."
Give an example each for an increasing function and a decreasing function with the set of real numbers as its domain and codomain that is not one-to-one.,"വർദ്ധിച്ചുവരുന്ന ഒരു ഫംഗ്ഷന് ഓരോന്നിനും ഒരു ഉദാഹരണം നൽകുക, യഥാർത്ഥ സംഖ്യകളുടെ കൂട്ടത്തോടൊപ്പം ഒരു ഡൊമൈനും കോഡൊമെയ്നും ആയി കുറയുന്നു ."
"Accordingly, the exponential function is deﬁned for all real numbers.","അതിനാൽ, എക്സ്പോണൻഷ്യൽ ഫംഗ്ഷൻ എല്ലാ യഥാർത്ഥ സംഖ്യകൾക്കും ഡിവേൾഡ് ആണ് ."
"Discrete Mathematics and its Applications (SixthEdition), Kenneth.H.Rosen, TMH Education Pvt. Ltd.","ഗണിതവും അതിന്റെ പ്രയോഗങ്ങളും ( സിക്സ്റ്റിഷൻ ) , കെന്നത്ത് എച്ച്.റോസൻ , ടിഎംഎച്ച് വിദ്യാഭ്യാസ പ്രൈവറ്റ് ലിമിറ്റഡ്"
Remainder function and Modular Arithmetic,ബാക്കിയുള്ള ഫംഗ്ഷനും മോഡുലാർ ഗണിതവും
Floor and Ceiling Functions,നിലയും മേൽക്കൂരയും പ്രവർത്തനങ്ങൾ
Answer:,ഉത്തരം :
Figure 3.2,ചിത്രം 3.2
0≡ M(mod M) and a±M ≡ a(mod M),"എം ) , എ. എം ( എം ."
"There is a need for drastic measures in order to make education capable to meet social, economic and political needs of the country.The educationists have recommended a school of institutional complex by which primary schools, secondary schools and colleges are brought closer to one another to enable them to benefit from each other.","രാജ്യത്തെ സാമൂഹിക, സാമ്പത്തിക, രാഷ്ട്രീയ ആവശ്യങ്ങൾ നിറവേറ്റാൻ വിദ്യാഭ്യാസത്തെ പ്രാപ്തരാക്കുന്നതിന് കടുത്ത നടപടികൾ ആവശ്യമാണ്.പ്രൈമറി സ്കൂളുകൾ, സെക്കൻഡറി സ്കൂളുകൾ, കോളേജുകൾ എന്നിവ പരസ്പരം കൂടുതൽ അടുക്കാൻ ഒരു സ്കൂൾ ഓഫ് ഇൻസ്റ്റിറ്റിയൂഷണൽ കോംപ്ലക്സ് നിർദ്ദേശിക്കുന്നു ."
inverse of f: the function that reverses the correspondence given by f (when f is a bijection),എഫിന്റെ വിപരീതം : f (bijection) നൽകിയിരിക്കുന്ന കറസ്പോണ്ടൻസ് തിരിച്ചുള്ള ഫംഗ്ഷൻ
"A function f : A → B is invertible if its inverse relation f −1 is a function from B to A.In general, the inverse relation f −1 may not be a function.The following theorem gives simple criteria which tells us when it is.","ഒരു ഫങ്ഷൻ എഫ് : a-യിൽ നിന്ന് a യിലേക്കുള്ള ഒരു ഫങ്ഷൻ ആണെങ്കിൽ അതിന്റെ വിപരീത ബന്ധം ബിൾ ആണ്.പൊതുവേ, വിപരീത ബന്ധം 1 ഒരു ധർമമല്ല.പിൻവരുന്ന തിയോറം എപ്പോൾ എന്ന് നമ്മോടു പറയുന്ന ലളിതമായ മാനദണ്ഡങ്ങൾ നൽകുന്നു ."
"Consider now functions of the form f : R → R.Since the graphs of such functions may be plotted in the Cartesian plane R2 and since functions may be identified with their graphs, we might wonder whether the concepts of being one-to-one and onto have some geometrical meaning.The answer is yes.",ഫോം f : r.അത്തരം പ്രവർത്തനങ്ങളുടെ ഗ്രാഫുകൾ കാർട്ടേസിയൻ പ്ലെയിൻ r2 - ൽ ആസൂത്രണം ചെയ്യപ്പെട്ടിരിക്കാം.ഉത്തരം അതെ എന്നാണ് .
5 (A),5 (എ)
"Suppose that g is a function from A to B and f is a function from B to C.If f and fog are one to one, does it imply that g is one-to one.Justify your answer.","b മുതൽ c വരെയുള്ള ഒരു ഫങ്ഷനാണ് g എന്ന് കരുതുക.എഫ്, ഫോഗ് എന്നിവ ഒന്നിന് ഒന്നാണെങ്കിൽ g ഒന്നാണെന്ന് ഇത് സൂചിപ്പിക്കുന്നു.നിങ്ങളുടെ ഉത്തരം ന്യായീകരിക്കുക ."
"This section presents various mathematical functions which appear often in the analysis of algorithms, and in computer science in general, together with their notation.We also discuss the exponential and logarithmic functions, and their relationship.","അൽഗോരിതത്തിന്റെ വിശകലനത്തിൽ പലപ്പോഴും പ്രത്യക്ഷപ്പെടുന്ന വിവിധ ഗണിത ഫംഗ്ഷനുകളും കമ്പ്യൂട്ടർ ശാസ്ത്രവും അവയുടെ വ്യാഖ്യാനത്തോടൊപ്പം പൊതുവിൽ അവതരിപ്പിക്കുന്നു.എക്സ്പോണൻഷ്യൽ, ലോഗാറിത്മിക് പ്രവർത്തനങ്ങളും അവയുടെ ബന്ധവും നമ്മൾ ചർച്ച ചെയ്യുന്നു ."
ceiling function: the smallest integer greater than or equal to x,ceiling ഫംഗ്ഷന്‍ : x - നേക്കാള്‍ വലുത് അല്ലെങ്കില്‍ സമം
Let f be a function from A to B. Let S be a subset of B. Show that .,a മുതൽ b വരെ പ്രവർത്തിക്കാം. നമുക്ക് b യുടെ ഒരു സബ്സെറ്റ് ആകാം. അത് കാണിക്കൂ .
"domain of f: the set A, where f is a function from A to B","f-ന്റെ domain : സെറ്റ് a, a-യിൽ നിന്ന് b-ലേക്ക് f പ്രവർത്തിക്കുന്നു"
• to introduce the concept of functions,ആശയങ്ങൾ അവതരിപ്പിക്കാൻ
C) D) f and g cannot be determined.,"f, g എന്നിവ നിർണ്ണയിക്കാൻ കഴിയില്ല ."
"Although we do not distinguish between a function and its graph, we will still use the terminology “graph of f ” when referring to f as a set of ordered pairs.Moreover, since the graph of f is a relation, we can draw its picture as was done for relations in general, and this pictorial representation is itself sometimes called the graph of f. Also, the defining condition of a function, that each a ∈ A belongs to a unique pair (a, b) in f, is equivalent to the geometrical condition of each vertical line intersecting the graph in exactly one point.","ഒരു ഫങ്ഷനും അതിന്റെ ഗ്രാഫും തമ്മിൽ വേർതിരിച്ചറിയുന്നില്ലെങ്കിലും , എഫ് ഒരു നിശ്ചിത ജോഡികളായി പരാമർശിക്കുമ്പോൾ നമ്മൾ f ന്റെ ടെർമിനോളജി ഗ്രാഫ് ഉപയോഗിക്കുന്നു.കൂടാതെ , f ഗ്രാഫ് ഒരു ബന്ധമായതിനാൽ , നമുക്ക് അതിന്റെ ചിത്രം പൊതുവിൽ ബന്ധങ്ങൾക്കായി ചെയ്തതുപോലെ വരയ്ക്കാൻ കഴിയും , ഈ ചിത്രീയ പ്രാതിനിധ്യത്തെ ചിലപ്പോൾ f ഗ്രാഫ് എന്ന് വിളിക്കുന്നു. കൂടാതെ , നിർദ്ദിഷ്ട ഫംഗ്ഷൻ , f - ൽ ഒരു സവിശേഷമായ ജോഡി ( എ , ബി ) ഉള്ള ഓരോ അവസ്ഥയും വെർട്ടിക്കൽ ലൈനിലെ ജ്യാമിതീയ അവസ്ഥയ്ക്ക് തുല്യമാണ് ."
4 (B),4 (ബി)
"◦ When a polyatomic anion has H– ion, bi- or hydrogen is used as a suffix.For example – HCO3–-Bicarbonate or hydrogen carbonate","ഒരു ബഹുഭാരോദ്വഹനം (polyanaion), ഹൈഡ്രജൻ (bi) അല്ലെങ്കിൽ ഹൈഡ്രജൻ (hydrogn) എന്നാണർത്ഥം ."
"According to Indian Education Commission (1964-66)- “The group of schools, built around a secondary school, as the minimum viable unit of educational reform is termed as school complex.”",ഇന്ത്യൻ വിദ്യാഭ്യാസ കമ്മിഷൻ (1964-66) അനുസരിച്ച് സെക്കൻഡറി സ്കൂളിന് ചുറ്റുമുള്ള ഒരു കൂട്ടം സ്കൂളുകൾ നിർമ്മിച്ചു .
"(c) By a real polynomial function, we mean a function f : R → R of the form","(സി) ഒരു നാമമാത്രമായ ഫംഗ്ഷൻ ഉപയോഗിച്ച്, ഒരു ഫങ്ഷൻ f : യഥാർത്ഥ ബഹുസ്വരതയെ നമ്മൾ അർത്ഥമാക്കുന്നു"
"Ca10(PO4)6(OH)2 – Hydroxyapatite, that is present in the enamel of the tooth",ca10 (oh) 6 (oh) പോക്സിയാപാറ്റൈറ്റ് (oh) .
4 (B),4 ( ബി )
A function f : A → B is said to be one-to-one (written 1-1) if different elements in the domain A have distinct images.Another way of saying the same thing is that f is one-to-one if f (a) = f(a ) implies a = a .,ഒരു ഫങ്ഷൻ എഫ് : ഡൊമൈനിൽ വ്യത്യസ്ത ഘടകങ്ങൾ ഉണ്ടെങ്കിൽ വൺടോൺ (11) എന്ന് പറയപ്പെടുന്നു.f (a) = f (a) = a (a) a = a എന്ന് അർത്ഥമാക്കുന്നുവെങ്കിൽ f എന്നത് ഒരേ പദമാണ് .
◦ An atom with a positive charge is called a cation whereas an atom with a negative charge is called an anion,ഒരു ക്രിയാത്മക ആറ്റത്തെ വിളിക്കുന്നു
References,പരാമർശങ്ങൾ
"are equivalent statements.Accordingly,",അത് പ്രകാരം തുല്യമായ പ്രസ്താവനകളാണ് .
one-to-one function: a function such that the images of elements in its domain are all different,വൺറ്റൂവൺ ഫംഗ്ഷൻ : അതിന്റെ ഡൊമെയിനിലെ മൂലകങ്ങളുടെ ചിത്രങ്ങൾ എല്ലാം വ്യത്യസ്തമാണ്
(c),( സി )
inverse of f: the function that reverses the correspondence given by f (when f is a bijection),എഫിന്റെ വിപരീതം : f ( bijection ) നൽകിയിരിക്കുന്ന കറസ്പോണ്ടൻസ് തിരിച്ചുള്ള ഫംഗ്ഷൻ
f : A → B,എഫ്‌ .
"That is, we find the image of a under f and then find the image of f (a) under g.This definition is not really new.If we view f and g as relations, then this function is the same as the composition of f and g as relations except that here we use the functional notation g◦f for the composition of f and g instead of the notation f ◦g which was used for relations.","അതായത്, ഒരു f ന്റെ ചിത്രം നമ്മൾ കണ്ടെത്തി, തുടർന്ന് g യുടെ കീഴിലുള്ള f (a) ന്റെ ചിത്രം കണ്ടെത്തുന്നു.ഈ നിർവചനം പുതിയ അല്ല.f, g ബന്ധങ്ങളെ ബന്ധങ്ങളായി നമ്മൾ കാണുകയാണെങ്കിൽ, ഇത് f, g ബന്ധങ്ങളുടെ ഘടനയ്ക്ക് തുല്യമാണ്. ഇവിടെ നമ്മൾ പ്രവർത്തിക്കുന്നത്, കോംപൊസിഷൻ ഫംഗ്ഷനുവേണ്ടി ജി. ജി ."
"When k is positive, simply divide k by M to obtain the remainder r. Thus","k പോസിറ്റീവ് ആണെങ്കിൽ, ബാക്കി r ലഭിക്കാൻ k നെ m ആയി വിഭജിക്കുക ."
A function f : A → B is said to be one-to-one (written 1-1) if different elements in the domain A have distinct images.Another way of saying the same thing is that f is one-to-one if f (a) = f(a ) implies a = a .,ഒരു ഫങ്ഷൻ എഫ് : ഡൊമൈനിൽ വ്യത്യസ്ത ഘടകങ്ങൾ ഉണ്ടെങ്കിൽ വൺടോൺ ( 11 ) എന്ന് പറയപ്പെടുന്നു.f ( a ) = f ( a ) = a ( a ) a = a എന്ന് അർത്ഥമാക്കുന്നുവെങ്കിൽ f എന്നത് ഒരേ പദമാണ് .
"Three classes of logarithms are of special importance: logarithms to base 10, called common logarithms; logarithms to base e, called natural logarithms; and logarithms to base 2, called binary logarithms.Some texts write","മൂന്ന് തരം ലോഗരിഥങ്ങൾ പ്രത്യേക പ്രാധാന്യമുള്ളവയാണ് : കോമൺ ലോഗരിഥം, കോമൺ ലോഗരിതം, ലോഗരിഥം, ഇ ബേസ്, സ്വാഭാവിക ലോഗരിഥങ്ങൾ, ലോഗരിഥംസ് ടു 2 ."
"Frequently, a function can be expressed by means of a mathematical formula.For example, consider the function which sends each real number into its square.We may describe this function by writing","പലപ്പോഴും , ഒരു ഗണിത സൂത്രവാക്യത്തിലൂടെ ഒരു ഫംഗ്ഷൻ പ്രകടിപ്പിക്കാൻ കഴിയും.ഉദാഹ ​ ര ​ ണ ​ ത്തിന്‌ , ഓരോ നമ്പരും അതിന്‍റെ സ്‌ക്വയറിലേക്ക് അയയ്‌ക്കുന്ന കാര്യം പരിചി ​ ന്തി ​ ക്കുക ."
"Frequently, a function can be expressed by means of a mathematical formula.For example, consider the function which sends each real number into its square.We may describe this function by writing","പലപ്പോഴും, ഒരു ഗണിത സൂത്രവാക്യത്തിലൂടെ ഒരു ഫംഗ്ഷൻ പ്രകടിപ്പിക്കാൻ കഴിയും.ഉദാഹ ​ ര ​ ണ ​ ത്തിന്‌, ഓരോ നമ്പരും അതിന്‍റെ സ്‌ക്വയറിലേക്ക് അയയ്‌ക്കുന്ന കാര്യം പരിചി ​ ന്തി ​ ക്കുക ."
"Let x be any real number.Then x lies between two integers called the floor and the ceiling of x. Specifically,, called the floor of x, denotes the greatest integer that does not exceed x. , called the ceiling of x, denotes the least integer that is not less than x.","x ഒരു യഥാര്‍ത്ഥ നമ്പര്‍ ആകട്ടെ.തുടർന്ന് x നിലം എന്ന് വിളിക്കുന്ന രണ്ട് പൂർണ്ണസംഖ്യകൾക്കും x ന്റെ മേൽക്കൂരയ്ക്കും ഇടയിലാണ്. പ്രത്യേകിച്ചും , x ഫ്ലോർ ഓഫ് എക്സ് എന്ന് വിളിക്കപ്പെടുന്ന ഏറ്റവും വലിയ സംഖ്യയെ സൂചിപ്പിക്കുന്നു. x - ന്റെ സീലിംഗ് എന്ന് വിളിക്കപ്പെടുന്ന , x - ൽ കുറഞ്ഞ പൂർണ്ണസംഖ്യയെ സൂചിപ്പിക്കുന്നു ."
"◦ When a polyatomic anion has H– ion, bi- or hydrogen is used as a suffix.For example – HCO3–-Bicarbonate or hydrogen carbonate","ഒരു ബഹുഭാരോദ്വഹനം ( polyanaion ) , ഹൈഡ്രജൻ ( bi ) അല്ലെങ്കിൽ ഹൈഡ്രജൻ ( hydrogn ) എന്നാണർത്ഥം ."
"A sequence is a function from the set N ={ 1,2,3,...}of positive integers into a set A.The notation an is used to denote the image of the integer n. Thus a sequence is usually denoted by","n = 1,2,3 എന്ന സെറ്റിൽ നിന്നുള്ള ഒരു ഫങ്ഷനാണ് a സെറ്റ് a.സംഖ്യയുടെ പ്രതിച്ഛായയെ സൂചിപ്പിക്കാൻ notation ഉപയോഗിക്കുന്നു. അതിനാൽ ഒരു ക്രമം സാധാരണയായി സൂചിപ്പിക്കുന്നു ."
"read: k modulo M) will denote the integer remainder when k is divided by M.More exactly, k(mod M) is the unique integer r such that",read more : k modulo m ( k modulo m ) എന്ന പൂർണ്ണസംഖ്യയെ സൂചിപ്പിക്കുന്നു .
"In fact, exponents are extended to include all real numbers by deﬁning, for any real number x,","യഥാർത്ഥത്തിൽ, എക്സ്പ്ലോററിന്റെ എല്ലാ യഥാർത്ഥ സംഖ്യകളും ഉൾപ്പെടുത്തുന്നതിനായി എക്സ്ചേഞ്ചുകൾ നീട്ടി ."
2.If then fof(x) is,ഫഫ് ( x ) ആണെങ്കില്‍
then k(mod M) = M − r' when,പിന്നെ കെ (mod) = imar ' എന്നായിരുന്നപ്പോള്‍
range of f: the set of images of f,f : f-ന്റെ സെറ്റ് ഇമേജുകൾ
"f is a function from A into A since each member of A appears as the first coordinate in exactly one ordered pair in f; here f (1) = 3, f (2) = 3, and f (3) = 1.g is not a function from A into A since 2 ∈ A is not the first coordinate of any pair in g and so g does not assign any image to 2.Also h is not a function from A into A since 1 ∈ A appears as the first coordinate of two distinct ordered pairs in h, (1, 3) and (1, 2).If h is to be a function it cannot assign both 3 and 2 to the element 1 ∈ A.","f = 3, f (2) = 3, f (2) = 3, f (3), f (3) = 1.ജി ഒരു ഫംഗ്ഷനിൽ നിന്നല്ല വരുന്നത്, അതായത് ജി യിലെ ഏതെങ്കിലും ജോഡിയുടെ ആദ്യ ഏകോപനമല്ല, അതിനാൽ ജി ഒരു ഇമേജ് 2 ആയി നൽകുന്നില്ല.എച്ച് (1, 3), (1, 1, 1) എന്നിങ്ങനെ രണ്ട് വ്യത്യസ്ത ഓർഡർ ചെയ്ത രണ്ട് ജോഡികളുടെ ആദ്യത്തെ കോർഡിനേറ്റായി കാണപ്പെടുന്ന ഒരു ഫങ്ഷനിൽ നിന്ന് എച്ച് ഇല്ല.h ഒരു ഫങ്ഷൻ ആണെങ്കിൽ, എലമെന്റ് 3, 2 എന്നിവയ്ക്ക് ഇത് സ്ഥാപിക്കാൻ കഴിയില്ല ."
"Let us recall the definition of a function.Suppose that to each element of a set A we assign a unique element of a set B; the collection of such assignments is called a function from A into B.The set A is called the domain of the function, and the set B is called the target set or codomain.","ഒരു ഫംഗ്ഷന്റെ നിർവചനം ഓർക്കുക.ഒരു സെറ്റിന്റെ ഓരോ ഘടകത്തിനും ഒരു സെറ്റ് ബിയുടെ സവിശേഷമായ ഒരു ഘടകത്തെ നമ്മൾ നിശ്ചയിക്കുന്നുവെന്ന് കരുതുക , അത്തരം അസൈൻമെന്റുകളുടെ ശേഖരത്തെ b - ലേക്ക് ഒരു ഫംഗ്ഷൻ എന്ന് വിളിക്കുന്നു.സെറ്റ് എ ഫംഗ്ഷന്റെ ഡൊമെയിൻ എന്ന് വിളിക്കുന്നു , സെറ്റ് ബി ലക്ഷ്യം സെറ്റ് അല്ലെങ്കിൽ കോഡമൈൻ എന്ന് വിളിക്കുന്നു ."
"(a) Consider the function f (x) = x3, i.e., f assigns to each real number its cube.Then the image of 2 is 8, and so we may write f (2) = 8.","(എ) ഫങ്ഷൻ f (x) = x3, അതായത്, ഓരോ യഥാർത്ഥ സംഖ്യയ്ക്കും f അസൈൻമെന്റുകൾ നൽകുന്നു.f (2) = 8 ."
"In the first notation, x is called a variable and the letter f denotes the function.In the second notation, the barred arrow → is read “goes into.”In the last notation, x is called the independent variable and y is called the dependent variable since the value of y will depend on the value of x.","ആദ്യ നോട്ടത്തിൽ, x ഒരു വേരിയബിൾ എന്നും അക്ഷരത്തെ f ഫംഗ്ഷനെ സൂചിപ്പിക്കുന്നു.രണ്ടാമത്തെ കുറിപ്പിൽ, ബാരെഡ് ആർട്ട് റൈഡ് വായിക്കുന്നു.അവസാന നോട്ടേഷനിൽ, x സ്വതന്ത്രമായ വേരിയബിൾ എന്ന് വിളിക്കുന്നു, കാരണം y യുടെ മൂല്യം x ന്റെ മൂല്യത്തെ ആശ്രയിച്ചിരിക്കും ."
"There are ten calcium atoms.The amounts of phosphorous, hydrogen and oxygen are affected by the subscripts outside the parentheses.There are six phosphorous atoms and two hydrogen atoms existent.Oxygen atoms exist in two positions in the formula.There are overall 26 oxygen atoms: two from the OH subunit (2×1) and 24 from the PO4 subunits (6×4)","പത്ത് കാത്സ്യം ആറ്റങ്ങൾ ഉണ്ട്.മാതാപിതാക്കൾക്ക് പുറത്തുള്ള സബ്സ്ക്രിപ്റ്റുകൾ ഫോസ്ഫറസ്, ഹൈഡ്രജൻ, ഓക്സിജൻ എന്നിവയുടെ അളവ് ബാധിക്കുന്നു.ആറ് ഫോസ്ഫറസ് ആറ്റങ്ങളും രണ്ട് ഹൈഡ്രജൻ ആറ്റങ്ങളും ഉണ്ട്.ഓക്സിജൻ ആറ്റങ്ങൾ രണ്ട് സ്ഥാനങ്ങളിൽ ഉണ്ട്.മൊത്തത്തിൽ ഓക്സിജൻ ആറ്റങ്ങൾ ഉണ്ട് : രണ്ട് ഓക്സിജൻ ആറ്റങ്ങൾ : രണ്ട് ഓക്സിജൻ ആറ്റങ്ങൾ : ഒ. എസ് ."
"This formula points out that in one molecule of the compound, 18 carbon atoms, 21 hydrogen atoms, one nitrogen atom and three oxygen atoms are existent.","ഒരു തന്മാത്രയിൽ , 18 കാർബൺ ആറ്റങ്ങൾ , 21 ഹൈഡ്രജൻ ആറ്റങ്ങൾ , നൈട്രജൻ ആറ്റങ്ങൾ , മൂന്ന് ഓക്സിജൻ ആറ്റങ്ങൾ എന്നിവ നിലവിലുണ്ട് ."
"◦ Most of the compounds are binary compounds, i.e. they have two elements.Compounds with more than two elements are also known",കോമ്പൗണ്ടുകളുടെ ബൈനറി അവയ്ക്ക് രണ്ട് ഘടകങ്ങളുണ്ട്.ഒന്നിലധികം മൂലകങ്ങളുമായി സംയുക്തങ്ങൾ അറിയപ്പെടുന്നു .
range of f: the set of images of f,f : f - ന്റെ സെറ്റ് ഇമേജുകൾ
"(b) Consider the following three relations on the set A = {1, 2, 3}:","(എ, 2, 3) സെറ്റിലെ പിൻവരുന്ന മൂന്നു ബന്ധങ്ങൾ പരിചിന്തിക്കുക :"
Exponential functions,എക്സ്പാന്‍ഷ്യല്‍ ഫംഗ്ഷനുകള്‍
"Find fog and gof, where and , are functions from R to R.","ഫോഗും ജിഒയും കണ്ടെത്തുക, r മുതൽ r വരെ പ്രവർത്തിക്കുന്നു ."
Hope you have followed this session.We will continue our discussion with another topic in the next session.Till then Good Bye.,നിങ്ങൾ ഈ സെഷൻ പിന്തുടരുമെന്ന് പ്രതീക്ഷിക്കുന്നു.അടുത്ത സമ്മേളനത്തില്‍ ഞങ്ങള്‍ ചര്‍ച്ച തുടരും.അതുവരെ ഗുഡ് ബൈ .
Consider the following four functions from R into R:,r മുതൽ r വരെയുള്ള നാല് ഫംഗ്ഷനുകൾ നോക്കാം :
Figure 1.1,ചിത്രം 1.1
"where IA and IB are the identity functions on A and B, respectively.","എ , ബി എന്നിവയിൽ യഥാക്രമം ഐഡിയയും പ്രവർത്തിക്കുന്നു ."
"Suppose X = {1, 2, . . . , n}.Then a permutation σ on X is frequently denoted by","x = 1, 2.യു. എൻ ."
"(a) Consider the function f (x) = x3, i.e., f assigns to each real number its cube.Then the image of 2 is 8, and so we may write f (2) = 8.","( എ ) ഫങ്ഷൻ f ( x ) = x3 , അതായത് , ഓരോ യഥാർത്ഥ സംഖ്യയ്ക്കും f അസൈൻമെന്റുകൾ നൽകുന്നു.f ( 2 ) = 8 ."
"Remark: Whenever a function is given by a formula in terms of a variable x, we assume, unless it is otherwise stated, that the domain of the function is R (or the largest subset of R for which the formula has meaning) and the codomain is R.","variable x ന്റെ കാര്യത്തിൽ ഒരു ഫോർമുല നൽകിയാൽ, ഫങ്ഷന്റെ ഡൊമെയിൻ r (അല്ലെങ്കിൽ domain) ആണ് ."
Module -2,മൊഡ്യൂള്‍ 2
